Date,699-48-70,299-W19-114,299-W19-113,299-W19-125,299-W22-92,299-W22-91,299-W22-90,299-W14-22,299-W12-4,299-W12-3,299-W5-1,299-W11-92,299-W14-21,299-W6-15,299-W11-97,299-W11-49,299-W19-111,299-W17-2,299-W17-3,299-W11-96,299-W11-90,299-W11-50,299-W12-2,299-W14-74,299-W14-73,299-W14-20,299-W15-225,Total,Cumulative Total,Cumulative Total (start 2015)
12/31/15,0,1.262230459,0.706594921,0,0.389624007,0.399350535,0.326610003,5.038647861,10.99947523,4.748681782,3.490907251,8.623532487,0,4.99706796,1.549003455,14.48080403,0,13.88891786,6.794038774,14.25589624,21.05442198,8.265674381,14.07027781,12.26071209,16.26956642,20.27313224,3.802646665,187.9478144,8848.02,2605.85
1/31/16,0,1.319891215,0.888931739,0,0.393022261,0.393868177,0.343994237,2.349518683,8.371192778,5.247270814,1.766748224,7.473936063,0,5.371009335,2.585275839,11.17777299,0,13.39185615,7.124762636,11.93353963,18.89615904,7.266625333,12.65346838,10.64566702,13.68290788,16.6049717,3.324267685,163.2066578,9011.23,2769.06
2/29/16,0,1.21910168,0.86486138,0,0.361542367,0.359283062,0.309857516,2.900969803,9.194137981,4.315446819,2.080138386,6.704814703,0,5.992286977,1.156824706,10.98132819,0,12.47360813,5.131839652,14.22153054,26.68921902,7.131809103,12.66987463,12.0890086,12.71629453,20.73951904,1.683334964,171.9866318,9183.22,2941.04
3/31/16,0,1.283670147,0.961755073,0,0.33969473,0.33415941,0.284814853,2.436438798,7.353158426,3.800254881,1.792277625,6.33100067,0,7.468498378,0.372286422,12.42928169,0,12.39614133,3.903391778,17.81914268,28.63013614,6.829708501,10.81730168,13.93127275,14.03295216,21.077509,1.146016153,175.7708633,9358.99,3116.81
4/30/16,0,1.2028889,0.953626018,0,0.353823615,0.346012062,0.290905525,0.067418183,0.146157114,0.09966454,0.048449779,6.242664761,0,0.010724418,0.803170496,11.83219321,0,3.663798723,2.506456323,0.015198197,15.82566867,5.932393587,0.19534803,0.650168146,8.798255775,17.6757799,1.881435393,79.54220136,9438.53,3196.36
5/31/16,0,1.212093371,0.972088644,0,0.379625172,0.36421025,0.310734463,0.002584719,0.007646611,0,0.00271184,7.312312965,0,0.013415375,0.001234316,12.54460783,0,7.081091372,1.12993708,0.02716301,16.63933896,5.882730735,0.01666413,9.928508118,6.509251494,18.42902606,2.252599388,91.0195759,9529.55,3287.38
6/30/16,0,1.122874757,0.90777586,0,0.369797593,0.352958462,0.306401602,0,0,0,0,6.729784475,0,0,0.119753477,10.50924127,0,0.016728176,0.253918347,0,16.59818323,5.293757138,0,3.521972407,3.790876878,17.96320334,2.682910951,70.54013795,9600.09,3357.92
7/31/16,0,1.097215311,0.892481058,0,0.401177028,0.360865453,0.310484815,2.322343556,5.872120055,3.835361737,1.518832734,4.178183722,0.001519337,4.941954487,1.451109257,3.86304695,0.002307083,6.997073028,2.67813592,10.69262279,24.98304451,5.73136945,7.562005403,12.72590524,13.06139869,19.07274233,1.48771733,136.0410173,9736.13,3493.96
8/31/16,0,0.999653186,0.721948336,0,0.397943779,0.348317729,0.243999257,2.783980541,6.078689139,4.614498064,1.846305129,4.262904895,1.489406798,19.55558552,0.912182768,8.281388487,0.096734314,10.25487118,2.323319159,12.40979612,20.7543735,4.225770583,7.977215681,13.69186167,11.64670565,12.59148093,1.950290741,150.4592231,9886.59,3644.42
9/30/16,0,1.013704731,0.834654674,0,0.383259114,0.302322831,0.106138536,4.72845534,10.01080045,7.720295909,3.362071466,5.372260244,4.822374542,29.89047639,1.953838451,9.566621132,0.891603582,10.81776378,2.264410274,18.00016645,24.83806445,4.420081563,15.6291824,15.39953298,11.6158243,19.14789167,1.936236302,205.0280316,10091.62,3849.44
10/31/16,0,1.032801627,0.848288796,0,0.388293814,0.321964154,0.064755731,2.583685633,6.890581503,0.92051009,2.022906053,2.9282896,0,7.54548412,0.604718963,0,0,8.109269345,0.660020479,0.33136824,21.0544002,3.108277461,8.818363163,1.041604721,8.282090153,16.39527664,1.849361184,95.80231168,10187.42,3945.25
11/30/16,0,0.925623493,0.883224194,0,0.362641806,0.331618022,0,4.454745833,9.654220306,6.965826204,2.520318597,5.183244725,0,15.37979379,1.93964317,9.860830074,0,12.3834379,3.373968473,6.265309311,18.8798867,2.870039123,13.19126593,5.510431175,11.88026132,15.43686576,2.255914026,150.5091099,10337.93,4095.76
12/31/16,0,1.113199484,0.889172787,0,0.338568869,0.360030816,0.090978995,5.399168504,12.12592698,8.102691654,2.889739304,5.757721666,2.186324982,4.149572009,2.54260149,15.96394335,0,14.15031811,4.39715809,13.70136914,17.33879597,7.914845138,14.32871043,8.944632224,13.50327794,14.84230111,2.34711251,173.3781616,10511.31,4269.13
1/31/17,0,1.050003291,0.746479439,0,0.334988156,0.336224737,0.255965692,4.739507657,8.245789,6.80152373,2.86716662,4.58946391,6.064821072,0,2.499444531,14.63786009,0,12.83966928,3.819783644,16.37923982,20.80270075,7.555746949,13.67757523,11.35480725,12.45432392,12.58131376,2.020108286,166.6545068,10677.96,4435.79
2/28/17,0,0.885908605,0.563174732,0,0.263025488,0.280224557,0.218978491,3.652588441,7.153755591,5.06474044,2.301101238,3.097030315,4.615144978,0,2.090826818,9.664078413,0,9.789611812,2.762240698,14.46773286,18.67119709,6.195264189,10.76549337,11.87031797,9.895358606,9.372951873,1.45563324,135.0963798,10813.06,4570.88
3/31/17,0,0.951695809,0.570779787,0,0.270552228,0.299780966,0.239412996,3.056347327,5.771464213,3.42293333,1.197240306,2.699410715,5.384833906,3.24955993,2.134791028,9.401723307,0,6.975728442,2.56067681,9.094740321,16.12694302,5.201836293,6.213880447,8.347554983,7.375598008,7.358865853,1.456928888,109.3632789,10922.42,4680.25
4/30/17,0,0.926903406,0.630769217,0,0.291856688,0.315577175,0.258397788,2.763350531,4.73006871,1.124135936,1.22532138,2.340789273,4.558883658,3.137956091,1.895313275,6.917217047,0,4.378911276,2.089381307,3.418487927,14.56910507,4.968255672,6.251914888,2.529510892,5.165145364,7.740723076,0.780846127,83.00882177,11005.43,4763.26
5/31/17,0,0.953637623,0.734479343,0,0.336350187,0.351417249,0.286624889,4.397360861,6.756204284,5.693560669,2.815476458,2.786622127,4.678354747,15.33941597,2.261872832,7.799019547,0,8.034369672,2.51559895,18.02832139,15.95462466,5.722809703,11.49958223,13.83285574,10.53451603,9.888902979,1.67186661,152.8738448,11158.3,4916.13
6/30/17,0,0.933781525,0.800428195,0,0.361100616,0.374413797,0.316121743,4.999064358,6.92804902,5.559736883,2.868485679,3.065107753,4.550722834,15.84170398,2.291873514,7.752128041,0,7.619855217,2.727364389,18.3276163,13.05626727,4.963073505,12.97405152,13.87628176,11.2213887,9.012867654,1.712115768,152.1336,11310.44,5068.26
7/31/17,0,0.800617565,0.630775818,0,0.316613417,0.323229797,0.320174409,5.954941429,11.10587213,6.503814042,1.849487215,3.514554823,5.943430947,15.532165,2.486812666,11.13531258,0,8.545743369,3.536219809,19.15896735,19.77475185,6.588093335,15.84186716,16.00731775,13.86540756,11.86384435,1.700173282,183.3001877,11493.74,5251.56
8/31/17,0,1.095909665,0.764337907,0,0.246677769,0.22360143,0.294711443,1.057478657,6.90876513,4.028719647,0,2.398121223,5.058612688,2.894078891,0.254888303,10.73211632,0,7.113951626,0.425041904,3.801517178,22.36667804,6.039145475,12.9327519,16.8176305,7.231033764,10.06794255,0.194241088,122.9479531,11616.69,5374.51
9/30/17,0,0.942972652,0.80076777,0.531176052,0.250040386,0.227588695,0.306830216,6.401323187,15.4445537,7.988839162,0.00179349,3.235911188,5.955204751,14.35471872,2.343373782,16.08450442,0,8.472352408,4.649384764,19.22889761,21.84372016,6.087500682,17.67693185,15.6555914,16.04860684,9.779841616,1.475343649,195.7877691,11812.47,5570.3
10/31/17,0,0.59449816,0.829674793,1.519122171,0.331372243,0.344413619,0.391451143,6.747899282,15.9735354,8.810383097,2.203139165,3.308168425,6.172765317,15.57624663,2.904270109,18.15979397,0,9.535701181,4.248711819,20.59422734,18.36409114,5.375696112,15.77487403,17.3460275,17.46332917,10.73808168,1.46856166,204.7760352,12017.25,5775.08
11/30/17,0,0.585057899,0.819785364,1.485363901,0.180353462,0.343048354,0.375383092,7.500587759,14.91814323,8.006654657,2.733802601,3.635079529,5.897190152,17.77144984,2.630983729,18.18465334,0,11.03573887,2.913639286,22.47081293,11.96752179,5.030815325,12.44111545,19.45335774,19.41724011,7.904330415,1.546691839,199.2488007,12216.5,5974.33
12/31/17,0,0.602243234,0.85967177,1.535656834,0.363396454,0.359722918,0.392303578,8.33403006,14.80013766,6.342481533,3.148762196,3.966038684,7.299108573,18.99635561,2.89354317,19.08074788,0,8.328161126,3.036851125,24.213344,11.70076274,5.064522449,8.953304278,20.57435779,22.82917949,8.549765284,1.510724989,203.7351734,12420.23,6178.06
1/31/18,0,0.590730008,0.873509114,1.530834224,0.348816149,0.351981536,0.395282986,8.509805614,14.5304469,8.419038425,3.647502856,4.329950194,8.338710101,16.96582783,3.721402717,19.52150147,0,0,3.675108859,22.93741632,13.70912764,5.288269425,16.88185672,17.78077562,24.49138679,9.516720053,1.590029127,207.9460307,12628.18,6386.01
2/28/18,0,0.524572045,0.803090128,1.381333312,0.318423086,0.292790165,0.377588709,8.070633545,13.00419526,8.0612705,3.667526717,3.71077007,8.377235977,13.60074394,4.619785181,18.04192607,0,0,4.009197897,19.47253934,13.87721456,5.222535435,13.11195006,14.32995498,19.56243644,9.400773056,1.687517767,185.5260042,12813.71,6571.53
3/31/18,0,0.570152442,0.897512207,1.497183857,0.35057243,0.355113746,0.428922074,7.577187203,12.11556081,7.7810331,3.155126833,3.41711464,8.226496729,14.56009746,3.894459503,18.9678634,0,0,3.52172359,21.30211263,16.95794804,6.242038879,15.96075479,2.645220286,24.52956793,10.95724186,1.499422204,187.4104266,13001.12,6758.94
4/30/18,0,0.530157092,0.850070058,1.313167247,0.33849416,0.347489649,0.415034289,7.003161748,12.25709532,7.666087358,3.141039325,2.912286617,7.639532962,14.66236665,3.696504472,16.77305682,0,0,2.57027059,21.39399044,14.97845861,6.701194406,13.95852219,15.08743275,21.62509332,11.26837698,0.970859472,188.0997425,13189.22,6947.04
5/31/18,0,0.53566403,0.857352568,1.139154397,0.348075381,0.377074128,0.427839566,7.814800264,11.83024481,7.847902466,3.373066611,2.590296613,7.591939506,16.61561355,5.013029097,15.74574908,0,0,4.251682351,22.83214211,20.15962181,6.579954301,14.01911789,18.81501868,20.53888419,10.28670904,0.878489876,200.4694223,13389.69,7147.51
6/30/18,0,0.491929613,0.816766695,1.08380823,0.360211523,0.374248077,0.418150324,7.20756809,7.924780464,7.421368847,3.018963442,2.349254972,6.547858164,17.24062388,5.344303654,13.76429723,0,0,3.849709201,22.68185304,21.37662086,6.57449665,13.10772206,19.98273338,18.13988685,9.656839926,0.590351236,190.3243464,13580.01,7337.84
7/31/18,0,0.461848402,0.784256127,1.121277741,0.341649343,0.361736697,0.415973816,4.68456979,11.74456348,4.404339806,1.434512914,0.867716065,5.471122599,17.43605684,2.786062627,13.40097291,0,0,0.328857252,22.00384946,19.43976758,6.152326534,14.08184521,18.84301251,17.68735271,8.74422443,0.005907002,173.0038018,13753.01,7510.84
8/31/18,0,0.409771687,0.709679404,1.117426066,0.304693831,0.335393202,0.402474729,7.811781349,13.34869514,5.400566914,1.937797445,1.265458262,7.589850893,16.77890171,3.704530107,14.70732215,0,0,0.200155965,19.79648734,16.09667223,5.240813516,14.57098333,17.33086192,16.27621417,7.395576168,0.002535691,172.7346432,13925.75,7683.57
9/30/18,0,0.430467747,0.671477626,1.098957418,0.271893921,0.309316063,0.372621179,7.461270689,12.24451825,4.77692636,1.701762492,1.325531988,6.80825868,15.14922581,3.172352983,14.17566605,0,0,0.612474797,18.14177396,10.34253424,3.423073402,13.8493724,16.29921573,16.24670615,4.778235874,0,153.6636338,14079.41,7837.24
10/31/18,0,0.691202949,0.351524546,1.241586065,0.311759066,0.330375166,0.414637961,8.62737667,15.76801826,7.428562922,2.073259036,1.517654996,7.493320536,17.74065741,3.030005326,14.84951516,0,0,1.379618077,20.88839432,16.10442777,5.016970209,15.97661392,18.60114702,20.78479148,6.908345095,0.008240762,187.5380047,14266.95,8024.78
11/30/18,0,1.366277439,0.012206797,1.288038484,0.317105111,0.324812124,0.414377834,9.543810743,16.4119918,9.148188616,2.931351572,1.884092333,6.892584045,17.58783106,3.730809574,14.16032424,0,0,2.290219345,21.15756612,15.10702562,4.858982918,15.99856984,18.74992903,22.70724858,6.504336866,0.270503972,193.6581841,14460.61,8218.43
12/31/18,0,0.468755368,0.795768172,1.203007949,0.293831711,0.322028924,0.373330956,7.202801993,15.3444444,8.890078795,3.820758809,1.475923044,6.76708596,16.67000637,4.399048023,14.05306332,0,0,3.090228612,21.95233643,16.00803337,5.4863577,15.89818805,18.87865592,22.90183801,6.478109252,1.381186117,194.1548673,14654.76,8412.59
1/31/19,0,0.41090651,0.722754736,1.050982564,0.265986251,0.318026822,0.327773113,6.080936254,12.76845941,6.804928201,3.33531148,1.413093018,7.729316974,13.09490847,4.341993159,12.88919234,0.117528689,0,2.990419454,19.36821833,16.46949797,5.291479317,14.69178771,16.47134393,19.96771496,6.084784715,1.004933545,174.0122779,14828.77,8586.6
2/28/19,0,0.608932982,0.6580245,0.808978603,0.249803629,0.275122149,0.058901439,6.649782287,10.89569592,4.75937296,2.118787904,1.171333934,6.618940297,9.459268728,3.189413223,8.291697622,0,0,2.050079487,11.86802289,11.34991404,4.914160334,11.57741926,15.27205513,17.10810353,7.871484331,0.766492102,138.5917873,14967.37,8725.19
3/31/19,0,0.658612142,0.69366745,0.933060467,0.290948426,0.296228007,0.042395495,8.345932471,13.75999065,5.85811812,2.267070423,1.368068507,7.743492286,10.89483753,4.377551553,10.95863063,0,0,2.634355036,12.87776768,10.85635345,5.765352282,11.62666323,12.61328843,13.61323797,8.121556471,1.121480168,147.7186589,15115.09,8872.91
4/30/19,0,0.608980944,0.597791941,0.831588019,0.272682715,0.254378178,0.228526534,6.425908084,12.414578,6.256764576,1.883022068,0.707732283,6.607809801,10.1489675,2.850616996,10.57796071,0,0.009906948,1.535566379,11.0375475,13.41709282,5.209150974,11.58386834,14.28188584,17.22995995,7.177340735,0.629663597,142.7792914,15257.86,9015.69
5/31/19,0,0.597017896,0.671384948,0.964580143,0.323051348,0.277298342,0.376203486,7.941781882,14.56962194,7.460137985,1.991084148,0.788212933,6.520598315,13.13135356,3.661850727,12.71910078,0,3.742150099,1.931411206,13.74860319,17.10722206,6.117107206,14.05053625,18.2661351,19.88020605,7.260982984,0.727854759,174.8254873,15432.69,9190.52
6/30/19,0,0.604106838,0.614998286,0.846395958,0.315872762,0.25082589,0.362301443,7.144702024,13.47943165,7.737323816,1.973431018,0.7190549,5.468750833,7.849253277,3.874958848,10.52841628,0,5.810455694,1.972520196,7.668756939,15.47629627,5.927975679,14.27048017,19.04915386,18.71448586,7.030987153,0.767490006,158.4584256,15591.15,9348.98
