WELL_NAME                WELL_ID                X                Y                TOPSCR                BOTSCR                TOPWEL                BOTWEL                2W_ROW                2W_COL                W2_ROW                W2_COL                E2_ROW                E2_COL
299-W11-4                A7277                567363.69                136587.27                142.24                129.16                218.44                123.95                93                72                106                98                0                0
299-W10-17                A4894                566775.44                136491.25                143.22                136.73                205.50                137.56                95                60                110                69                0                0
299-W11-6                A4909                567481.63                136492.84                140.52                132.72                219.77                124.67                95                74                110                104                0                0
299-W11-8                A7279                567644.38                136495.69                140.98                125.74                220.22                124.21                95                77                110                112                0                0
699-43-83                A8697                564475.25                136472.27                -54.25                -77.11                0.00                -77.72                95                14                111                14                0                0
299-W10-5                A4898                566578.63                136474.83                152.62                138.91                205.96                132.81                95                56                111                59                0                0
699-43-69                C5573                568967.03                136488.48                104.55                93.89                227.36                74.50                95                104                111                168                0                0
299-W11-11                A7280                566948.62                136457.08                145.08                130.44                206.07                130.48                95                63                112                77                0                0
299-W10-27                C3125                566843.97                136441.78                137.54                126.87                205.62                123.72                96                61                113                72                0                0
299-W10-26                B8548                566843.40                136400.59                138.52                127.82                205.45                125.59                96                61                115                72                0                0
299-W10-18                A4895                566846.87                136396.29                143.76                137.27                205.52                137.68                97                61                115                72                0                0
299-W15-3                A4928                566729.20                136371.48                144.28                133.31                205.39                130.71                97                59                116                66                0                0
299-W15-12                A4917                566699.19                136368.77                145.83                139.73                205.27                136.69                97                58                117                65                0                0
299-W15-13                A4918                566845.44                136369.50                145.27                136.74                205.32                136.74                97                61                117                72                0                0
299-W15-2                A5466                566093.75                136336.23                145.97                134.83                212.41                132.86                98                46                118                46                0                0
299-W14-18                C3396                566897.47                136344.15                137.80                127.13                205.02                125.31                98                62                118                75                0                0
299-W14-2                A7328                566932.32                136340.41                149.55                137.06                205.79                137.82                98                63                118                77                0                0
299-W14-1                A4913                566953.32                136311.18                144.54                133.87                204.88                131.73                98                64                119                78                0                0
299-W14-16                C3120                567001.33                136318.48                137.42                126.77                206.12                125.35                98                65                119                80                0                0
299-W14-11                C4668                566901.69                136287.62                124.62                121.57                205.09                99.02                99                63                121                75                0                0
299-W14-12                A4914                566905.69                136284.17                143.92                137.83                205.44                137.62                99                63                121                75                0                0
299-W14-13                B8549                566901.72                136282.38                138.32                127.62                205.11                125.25                99                63                121                75                0                0
299-W14-15                C3114                566899.69                136230.65                137.60                126.98                205.35                126.11                100                62                123                75                0                0
299-W14-17                C3121                567006.77                136218.35                137.43                126.76                205.85                124.93                100                65                124                80                0                0
299-W14-14                B8547                566898.39                136181.05                138.49                127.81                205.43                70.41                101                62                126                75                0                0
299-W14-19                C3957                566898.60                136135.06                136.78                126.11                205.61                100.67                102                62                128                75                0                0
299-W15-22                A4925                566683.04                136110.93                144.04                137.55                205.48                137.84                102                58                129                64                0                0
299-W14-6                A7331                566899.19                136100.83                144.12                134.98                203.56                130.40                102                62                130                75                0                0
299-W15-41                B8815                566757.59                136031.68                136.98                132.40                203.48                130.64                104                60                133                68                0                0
299-W14-5                A5475                566899.25                136039.88                146.29                135.62                204.20                131.05                104                62                133                75                0                0
299-W13-1                C4238                568148.74                136048.60                103.65                92.99                223.54                62.82                104                87                133                137                0                0
299-W15-763                C3339                566809.21                136028.76                137.63                126.94                202.95                124.43                104                61                134                70                0                0
299-W15-4                A4929                566826.25                136027.67                178.16                155.30                203.17                137.03                104                61                134                71                0                0
299-W15-49                C4301                566307.20                135972.91                136.52                125.86                209.13                76.54                105                51                136                51                0                0
299-W15-10                A4916                566448.63                135981.14                151.82                117.65                207.60                116.16                105                53                136                53                0                0
299-W15-20                A4924                566082.88                135964.19                145.98                139.58                213.96                139.28                105                46                137                46                0                0
299-W15-19                A4923                566189.08                135968.70                145.79                139.39                211.90                137.01                105                48                137                48                0                0
299-W15-25                A9831                566448.53                135966.02                141.26                139.73                207.35                124.45                105                53                137                53                0                0
299-W14-72                C5103                567328.44                135941.28                89.48                84.91                216.39                82.43                106                71                138                96                0                0
299-W15-224                C4986                566307.89                135926.08                136.53                125.87                209.19                125.64                106                51                139                51                0                0
299-W14-10                A7334                567981.06                135898.31                142.53                137.96                222.43                121.84                107                84                140                129                0                0
299-W15-23                A4926                566083.65                135858.13                146.67                140.36                214.31                141.16                107                46                142                46                0                0
299-W15-31A                B2471                566377.11                135856.10                142.90                130.73                208.48                129.54                107                52                142                52                0                0
299-W15-83                C4683                566304.52                135826.24                137.33                126.65                209.32                124.47                108                51                144                51                0                0
299-W15-50                C4302                566793.47                135790.72                128.31                117.65                203.24                100.52                109                60                145                70                0                0
299-W15-15                A4919                566088.81                135751.49                145.19                136.05                213.84                136.11                109                46                147                46                0                0
299-W15-16                A4920                566307.01                135733.63                145.77                136.62                209.85                135.63                110                51                148                51                0                0
299-W15-30                B2410                566304.62                135748.94                142.81                130.64                210.13                128.35                110                51                148                51                0                0
299-W15-17                A4921                566306.89                135718.96                80.46                77.41                209.78                72.62                110                51                149                51                0                0
299-W15-38                B2754                566812.92                135672.90                140.36                134.25                203.69                133.74                111                61                151                71                0                0
299-W14-9                A4915                567031.75                135650.69                80.68                57.89                207.95                41.83                111                65                152                82                0                0
299-W15-94                C4684                566307.58                135640.34                137.45                126.78                209.86                125.12                112                51                153                51                0                0
299-W15-42                C3803                566581.83                135627.02                136.68                121.44                207.39                120.05                112                56                154                59                0                0
299-W15-24                A4927                566091.13                135605.74                146.26                139.86                214.26                140.56                112                46                155                46                0                0
299-W15-8                A5468                566757.69                135576.70                169.94                150.73                204.71                141.92                113                60                156                68                0                0
299-W15-18                A4922                566308.66                135561.76                146.05                136.90                210.10                136.19                113                51                157                51                0                0
299-W15-39                B2755                566819.18                135552.97                140.41                134.31                202.13                134.16                113                61                157                71                0                0
299-W14-71                C5102                567733.43                135567.81                93.46                88.90                219.41                76.79                113                79                157                117                0                0
299-W18-3                A5469                566212.10                135529.50                150.43                133.36                212.29                75.13                114                49                159                49                0                0
299-W18-26                A4938                566091.28                135491.71                145.52                139.09                214.12                137.95                115                46                160                46                0                0
299-W18-5                A5470                566349.25                135453.55                150.18                126.10                209.62                124.27                115                51                162                51                0                0
699-39-79                A5151                565890.88                135411.88                147.01                134.85                206.45                116.53                116                42                164                42                0                0
299-W18-16                C4303                566605.05                135425.69                136.41                125.75                208.58                102.51                116                57                164                60                0                0
299-W18-17                A5479                566702.76                135425.24                147.45                138.30                206.12                125.35                116                59                164                65                0                0
299-W18-7                A7524                566580.97                135409.80                147.32                141.22                207.82                116.38                116                56                165                59                0                0
299-W18-2                A5478                566380.16                135383.59                146.19                131.10                209.35                124.00                117                52                166                52                0                0
