WELL_NAME         WELL_ID         X         Y         TOP         BOT         ROW         COLUMN         delx         dely         area
299-W10-8         A4899         566848.813         136811.219         144.069         131.953         30         46         200.0000         200.0000         40000.0000
299-W11-23         A4905         566904.938         136801.078         149.818         137.626         30         46         200.0000         200.0000         40000.0000
299-W11-30         A7289         567193.375         136858.859         142.178         135.546         30         47         200.0000         200.0000         40000.0000
299-W11-14         A4903         567457.938         136913.969         142.802         134.603         30         49         200.0000         200.0000         40000.0000
699-44-64         A5188         570389.510         136897.160         124.176         110.764         30         63         200.0000         200.0000         40000.0000
299-E28-10         A6789         573755.563         136890.297         129.226         124.746         30         80         200.0000         200.0000         40000.0000
299-E28-2         A6785         573704.500         136863.875         120.769         111.625         30         80         200.0000         200.0000         40000.0000
299-E28-5         A6787         574033.813         136856.672         127.255         116.587         30         82         200.0000         200.0000         40000.0000
699-43-89         A5181         562916.180         136619.720         142.800         120.850         31         26         200.0000         200.0000         40000.0000
299-W10-13         A4890         566027.438         136606.813         145.689         137.978         31         42         200.0000         200.0000         40000.0000
299-W10-14         A4891         566017.188         136608.891         83.422         78.041         31         42         200.0000         200.0000         40000.0000
299-W10-30         C4989         566082.780         136739.330         137.779         127.111         31         42         200.0000         200.0000         40000.0000
299-W10-1         A7136         566663.125         136734.563         149.547         125.163         31         45         200.0000         200.0000         40000.0000
299-W10-12         A4889         566755.563         136797.500         147.027         131.178         31         45         200.0000         200.0000         40000.0000
299-W10-28         C3400         566701.563         136709.938         137.462         126.794         31         45         200.0000         200.0000         40000.0000
299-W10-9         A4900         566748.188         136798.844         147.310         139.172         31         45         200.0000         200.0000         40000.0000
299-W10-16         A4893         566780.875         136606.609         144.807         138.406         31         45         200.0000         200.0000         40000.0000
299-W10-3         A4897         566731.875         136673.406         150.594         134.440         31         45         200.0000         200.0000         40000.0000
299-W10-24         B8546         566885.438         136798.781         137.978         127.932         31         46         200.0000         200.0000         40000.0000
299-W11-27         A4907         566885.000         136796.563         143.886         137.781         31         46         200.0000         200.0000         40000.0000
299-W11-24         A4906         566912.938         136744.531         146.545         134.566         31         46         200.0000         200.0000         40000.0000
299-W11-39         C3117         566908.375         136779.922         137.160         126.473         31         46         200.0000         200.0000         40000.0000
299-W11-40         C3118         566926.813         136709.672         133.496         127.461         31         46         200.0000         200.0000         40000.0000
299-W11-42         C3242         566920.438         136745.672         138.015         127.344         31         46         200.0000         200.0000         40000.0000
299-W11-12         A4902         566927.125         136604.016         147.226         133.477         31         46         200.0000         200.0000         40000.0000
299-W11-41         C3119         566935.500         136677.781         137.521         126.853         31         46         200.0000         200.0000         40000.0000
299-W11-45         C4948         566992.840         136775.640         127.880         123.433         31         46         200.0000         200.0000         40000.0000
299-W11-1         A7275         567220.375         136652.125         149.488         133.608         31         48         200.0000         200.0000         40000.0000
299-W11-7         A4910         567260.875         136675.328         142.432         133.474         31         48         200.0000         200.0000         40000.0000
299-W11-3         A5473         567641.688         136663.891         142.600         138.637         31         50         200.0000         200.0000         40000.0000
299-W11-9         A4911         567781.000         136667.344         137.557         134.936         31         50         200.0000         200.0000         40000.0000
299-W11-10         A4901         568147.500         136610.031         143.128         131.656         31         52         200.0000         200.0000         40000.0000
299-E28-18         A4821         573104.076         136767.778         132.866         117.626         31         77         200.0000         200.0000         40000.0000
299-E28-1         A6784         573933.375         136732.609         126.638         111.702         31         81         200.0000         200.0000         40000.0000
299-E27-15         A4813         575095.250         136630.359         126.619         120.218         31         87         200.0000         200.0000         40000.0000
299-E27-22         C4124         575185.100         136685.330         123.869         111.687         31         87         200.0000         200.0000         40000.0000
299-E27-7         A4816         575220.590         136619.403         121.079         108.887         31         88         200.0000         200.0000         40000.0000
699-43-44         B8758         576744.688         136652.859         124.508         118.403         31         95         200.0000         200.0000         40000.0000
699-43-40         A5173         577583.125         136705.328         130.400         124.959         31         99         200.0000         200.0000         40000.0000
299-W10-5         A4898         566578.625         136474.828         152.622         138.906         32         44         200.0000         200.0000         40000.0000
299-W10-4         A7137         566734.625         136578.078         147.343         132.860         32         45         200.0000         200.0000         40000.0000
299-W10-17         A4894         566775.438         136491.250         143.217         136.725         32         45         200.0000         200.0000         40000.0000
299-W10-26         B8548         566843.375         136400.594         138.519         127.824         32         46         200.0000         200.0000         40000.0000
299-W10-27         C3125         566844.000         136441.781         137.538         126.870         32         46         200.0000         200.0000         40000.0000
299-W11-4         A7277         567363.688         136587.266         142.239         129.163         32         48         200.0000         200.0000         40000.0000
