TIME,WELL_NAME,MASS_KG
4564,299-W14-20,0
4595,299-W14-20,0
4626,299-W14-20,0
4656,299-W14-20,0
5022,299-W14-20,0
5387,299-W14-20,0
5752,299-W14-20,0
6117,299-W14-20,0
6483,299-W14-20,0
6848,299-W14-20,0
7213,299-W14-20,0
7578,299-W14-20,0
7944,299-W14-20,0
8309,299-W14-20,0
9447.8418,299-W14-20,0
10025.8174,299-W14-20,0
10609.5723,299-W14-20,0
11199.165,299-W14-20,0
11794.6533,299-W14-20,0
12396.0967,299-W14-20,0
13003.5547,299-W14-20,0
13617.0869,299-W14-20,0
14236.7549,299-W14-20,0
14862.6191,299-W14-20,0
15494.7422,299-W14-20,0
16133.1865,299-W14-20,0
16778.0156,299-W14-20,0
17429.293,299-W14-20,0
18087.082,299-W14-20,0
18751.4492,299-W14-20,0
19422.4609,299-W14-20,0
20100.1816,299-W14-20,0
20784.6797,299-W14-20,0
21476.0234,299-W14-20,0
22174.2813,299-W14-20,0
22879.5215,299-W14-20,0
23591.8145,299-W14-20,0
24311.2305,299-W14-20,0
25037.8398,299-W14-20,0
25771.7148,299-W14-20,0
26512.9297,299-W14-20,0
27261.5566,299-W14-20,0
28017.6699,299-W14-20,0
28781.3438,299-W14-20,0
29552.6543,299-W14-20,0
30331.6777,299-W14-20,0
31118.4922,299-W14-20,0
31913.1738,299-W14-20,0
32715.8027,299-W14-20,0
33526.457,299-W14-20,0
34345.2188,299-W14-20,0
35172.168,299-W14-20,0
36007.3867,299-W14-20,0
36850.957,299-W14-20,0
37702.9648,299-W14-20,0
38563.4922,299-W14-20,0
39432.625,299-W14-20,0
40310.4492,299-W14-20,0
41197.0508,299-W14-20,0
42092.5195,299-W14-20,0
42996.9414,299-W14-20,0
43910.4063,299-W14-20,0
44833,299-W14-20,0
31,299-W14-73,20.71541726
59,299-W14-73,16.74546136
90,299-W14-73,18.08471737
120,299-W14-73,16.58514132
151,299-W14-73,17.54211854
181,299-W14-73,16.94209963
212,299-W14-73,19.72022815
243,299-W14-73,19.56107382
273,299-W14-73,19.29399042
304,299-W14-73,19.82056372
334,299-W14-73,18.67446878
365,299-W14-73,16.98517784
396,299-W14-73,13.77134079
425,299-W14-73,13.20322181
456,299-W14-73,14.97613587
486,299-W14-73,9.703590679
517,299-W14-73,7.414866324
547,299-W14-73,4.467741089
578,299-W14-73,15.793202
609,299-W14-73,14.49344639
639,299-W14-73,14.88467377
670,299-W14-73,10.92504547
700,299-W14-73,16.12790826
731,299-W14-73,18.88526063
762,299-W14-73,17.97914995
790,299-W14-73,14.74883509
821,299-W14-73,11.13909741
851,299-W14-73,7.447381773
882,299-W14-73,14.47951523
912,299-W14-73,14.7226676
943,299-W14-73,17.50594957
974,299-W14-73,8.774462398
1004,299-W14-73,18.70127734
1035,299-W14-73,18.82752915
1065,299-W14-73,18.85795825
1096,299-W14-73,20.9651559
1127,299-W14-73,22.1498965
1155,299-W14-73,17.40792472
1186,299-W14-73,22.25652604
1216,299-W14-73,21.54218507
1247,299-W14-73,22.37751925
1277,299-W14-73,21.6679425
1308,299-W14-73,22.36806612
1339,299-W14-73,21.670283
1369,299-W14-73,20.24956488
1400,299-W14-73,22.00825262
1430,299-W14-73,20.3089023
1461,299-W14-73,20.9450177
1492,299-W14-73,21.00797048
1520,299-W14-73,17.74146104
1551,299-W14-73,13.76555308
1581,299-W14-73,16.95945564
1612,299-W14-73,19.05144947
1642,299-W14-73,17.57589465
1673,299-W14-73,13.04668452
1704,299-W14-73,0
1734,299-W14-73,9.065875275
1765,299-W14-73,3.060861572
1795,299-W14-73,4.393107391
1826,299-W14-73,10.15843239
1857,299-W14-73,13.10591693
1886,299-W14-73,11.19770217
1917,299-W14-73,11.93818308
1947,299-W14-73,11.48104677
1978,299-W14-73,11.35254069
2008,299-W14-73,12.02301881
2039,299-W14-73,14.45199772
2070,299-W14-73,8.120125286
2100,299-W14-73,7.690852341
2131,299-W14-73,8.929774865
2161,299-W14-73,7.606623326
2192,299-W14-73,7.745262174
2223,299-W14-73,7.618569959
2251,299-W14-73,6.954934845
2282,299-W14-73,8.038855741
2312,299-W14-73,7.524905207
2343,299-W14-73,8.047237689
2373,299-W14-73,7.588158159
2404,299-W14-73,7.584487583
2435,299-W14-73,7.758087404
2465,299-W14-73,7.371613931
2496,299-W14-73,7.662750214
2526,299-W14-73,7.347413631
2557,299-W14-73,7.485138435
2588,299-W14-73,7.371209336
2616,299-W14-73,6.630846589
2647,299-W14-73,8.614466322
2677,299-W14-73,8.432511347
2708,299-W14-73,6.474714642
2738,299-W14-73,7.74899857
2769,299-W14-73,6.27529051
2800,299-W14-73,6.292960463
2830,299-W14-73,4.915166108
2861,299-W14-73,6.197275863
2891,299-W14-73,5.948858774
2922,299-W14-73,6.075406035
2953,299-W14-73,5.913958637
2981,299-W14-73,5.289199686
3012,299-W14-73,5.8289073
3042,299-W14-73,4.391075582
3073,299-W14-73,5.059802482
3103,299-W14-73,4.420838094
3134,299-W14-73,5.255510215
3165,299-W14-73,5.004072724
3195,299-W14-73,4.138433197
3226,299-W14-73,4.95166609
3256,299-W14-73,4.68642363
3287,299-W14-73,4.855572162
3318,299-W14-73,4.788159631
3347,299-W14-73,4.426718514
3378,299-W14-73,4.676762591
3408,299-W14-73,4.471833544
3439,299-W14-73,4.565199828
3469,299-W14-73,4.364115685
3500,299-W14-73,4.454122571
3531,299-W14-73,4.397878181
3561,299-W14-73,4.202647925
3592,299-W14-73,4.266180035
3622,299-W14-73,4.07799563
3653,299-W14-73,4.157314636
3684,299-W14-73,4.093422789
3712,299-W14-73,3.637294809
3743,299-W14-73,3.95644347
3773,299-W14-73,3.754238762
3804,299-W14-73,3.799359788
3834,299-W14-73,3.597055479
3865,299-W14-73,3.633083956
3896,299-W14-73,3.546737998
3926,299-W14-73,3.349594858
3957,299-W14-73,3.373971284
3987,299-W14-73,3.175550774
4018,299-W14-73,3.187422719
4049,299-W14-73,3.092408315
4077,299-W14-73,2.712491966
4108,299-W14-73,2.915250205
4138,299-W14-73,2.734931084
4169,299-W14-73,2.738855771
4199,299-W14-73,2.567998134
4230,299-W14-73,2.570519431
4261,299-W14-73,2.488303509
4291,299-W14-73,2.331915244
4322,299-W14-73,2.333744879
4352,299-W14-73,2.189529061
4383,299-W14-73,2.194128013
4414,299-W14-73,2.126638429
4442,299-W14-73,1.864484538
4473,299-W14-73,2.003888421
4503,299-W14-73,1.880510745
4534,299-W14-73,1.884424584
4564,299-W14-73,1.76847801
4595,299-W14-73,1.772345042
4626,299-W14-73,1.718185282
4656,299-W14-73,1.612784442
5022,299-W14-73,16.4137253
5387,299-W14-73,11.37659919
5752,299-W14-73,7.979724618
6117,299-W14-73,5.658188386
6483,299-W14-73,4.073818296
6848,299-W14-73,2.961605887
7213,299-W14-73,2.198483238
7578,299-W14-73,1.664310368
7944,299-W14-73,1.289651357
8309,299-W14-73,1.015360429
9447.8418,299-W14-73,0
10025.8174,299-W14-73,0
10609.5723,299-W14-73,0
11199.165,299-W14-73,0
11794.6533,299-W14-73,0
12396.0967,299-W14-73,0
13003.5547,299-W14-73,0
13617.0869,299-W14-73,0
14236.7549,299-W14-73,0
14862.6191,299-W14-73,0
15494.7422,299-W14-73,0
16133.1865,299-W14-73,0
16778.0156,299-W14-73,0
17429.293,299-W14-73,0
18087.082,299-W14-73,0
18751.4492,299-W14-73,0
19422.4609,299-W14-73,0
20100.1816,299-W14-73,0
20784.6797,299-W14-73,0
21476.0234,299-W14-73,0
22174.2813,299-W14-73,0
22879.5215,299-W14-73,0
23591.8145,299-W14-73,0
24311.2305,299-W14-73,0
25037.8398,299-W14-73,0
25771.7148,299-W14-73,0
26512.9297,299-W14-73,0
27261.5566,299-W14-73,0
28017.6699,299-W14-73,0
28781.3438,299-W14-73,0
29552.6543,299-W14-73,0
30331.6777,299-W14-73,0
31118.4922,299-W14-73,0
31913.1738,299-W14-73,0
32715.8027,299-W14-73,0
33526.457,299-W14-73,0
34345.2188,299-W14-73,0
35172.168,299-W14-73,0
36007.3867,299-W14-73,0
36850.957,299-W14-73,0
37702.9648,299-W14-73,0
38563.4922,299-W14-73,0
39432.625,299-W14-73,0
40310.4492,299-W14-73,0
41197.0508,299-W14-73,0
42092.5195,299-W14-73,0
42996.9414,299-W14-73,0
43910.4063,299-W14-73,0
44833,299-W14-73,0
31,299-W14-74,16.53765587
59,299-W14-74,11.58560453
90,299-W14-74,17.66034748
120,299-W14-74,15.03124032
151,299-W14-74,15.67076716
181,299-W14-74,17.20814694
212,299-W14-74,19.2891428
243,299-W14-74,19.0729905
273,299-W14-74,18.68900136
304,299-W14-74,17.79959814
334,299-W14-74,14.31401159
365,299-W14-74,12.82733813
396,299-W14-74,11.70166527
425,299-W14-74,12.93839864
456,299-W14-74,14.53511652
486,299-W14-74,0.72197542
517,299-W14-74,9.751346672
547,299-W14-74,3.412202271
578,299-W14-74,11.8618863
609,299-W14-74,12.39704493
639,299-W14-74,16.89591976
670,299-W14-74,1.535413345
700,299-W14-74,10.30699357
731,299-W14-74,15.4074434
762,299-W14-74,16.2770711
790,299-W14-74,14.15799756
821,299-W14-74,8.707356049
851,299-W14-74,2.568019205
882,299-W14-74,13.42328246
912,299-W14-74,13.20128596
943,299-W14-74,16.06992498
974,299-W14-74,17.84006827
1004,299-W14-74,17.54452696
1035,299-W14-74,18.23081513
1065,299-W14-74,17.57937276
1096,299-W14-74,18.25523189
