Month_End,WELL_NAME,MASS_KG
04/30/2021,299-W19-114,0.259555465
05/31/2021,299-W19-114,0.243823344
06/30/2021,299-W19-114,0.235937076
07/31/2021,299-W19-114,0.254194134
08/31/2021,299-W19-114,0.269671154
09/30/2021,299-W19-114,0.263871479
10/31/2021,299-W19-114,0.281617068
11/30/2021,299-W19-114,0.278254243
12/31/2021,299-W19-114,0.289658373
01/31/2022,299-W19-114,0.279281005
02/28/2022,299-W19-114,0.247936639
03/31/2022,299-W19-114,0.207716376
04/30/2022,299-W19-114,0.239718459
05/31/2022,299-W19-114,0.236058918
06/30/2022,299-W19-114,0.178642109
07/31/2022,299-W19-114,0.244681339
08/31/2022,299-W19-114,0.246735828
09/30/2022,299-W19-114,0.225623069
10/31/2022,299-W19-114,0.241779918
11/30/2022,299-W19-114,0.230950206
12/31/2022,299-W19-114,0.244271542
01/31/2023,299-W19-114,0.258108961
02/28/2023,299-W19-114,0.221058197
03/31/2023,299-W19-114,0.227096733
04/30/2023,299-W19-114,0.203850596
05/31/2023,299-W19-114,0.196162415
06/30/2023,299-W19-114,0.131205685
07/31/2023,299-W19-114,0.075632949
08/31/2023,299-W19-114,0.050363597
09/30/2023,299-W19-114,0.063388418
10/31/2023,299-W19-114,0.117297384
11/30/2023,299-W19-114,0.10136137
12/31/2023,299-W19-114,0.104776472
01/31/2024,299-W19-114,0.093694879
02/29/2024,299-W19-114,0.096245089
03/31/2024,299-W19-114,0.117167052
04/30/2024,299-W19-114,0.112058619
05/31/2024,299-W19-114,0.125756166
06/30/2024,299-W19-114,0.124869989
07/31/2024,299-W19-114,0.118614816
08/31/2024,299-W19-114,0.074689557
09/30/2024,299-W19-114,0.000229017
10/31/2024,299-W19-114,0
11/30/2024,299-W19-114,0
12/31/2024,299-W19-114,0.001511515
07/31/2012,299-W19-113,0
08/31/2012,299-W19-113,0
09/30/2012,299-W19-113,0
10/31/2012,299-W19-113,0
11/30/2012,299-W19-113,0
12/31/2012,299-W19-113,0
01/31/2013,299-W19-113,0
02/28/2013,299-W19-113,0
03/31/2013,299-W19-113,0
04/30/2013,299-W19-113,0
05/31/2013,299-W19-113,0
06/30/2013,299-W19-113,0
07/31/2013,299-W19-113,0
08/31/2013,299-W19-113,0
09/30/2013,299-W19-113,0
10/31/2013,299-W19-113,0
11/30/2013,299-W19-113,0
12/31/2013,299-W19-113,0
01/31/2014,299-W19-113,0
02/28/2014,299-W19-113,0
03/31/2014,299-W19-113,0
04/30/2014,299-W19-113,0
05/31/2014,299-W19-113,0
06/30/2014,299-W19-113,0
07/31/2014,299-W19-113,0
08/31/2014,299-W19-113,0
09/30/2014,299-W19-113,0
10/31/2014,299-W19-113,0
11/30/2014,299-W19-113,0
12/31/2014,299-W19-113,0
01/31/2015,299-W19-113,0
02/28/2015,299-W19-113,0
03/31/2015,299-W19-113,0
04/30/2015,299-W19-113,0
05/31/2015,299-W19-113,0
06/30/2015,299-W19-113,0
07/31/2015,299-W19-113,0
08/31/2015,299-W19-113,0
09/30/2015,299-W19-113,0.137444516
10/31/2015,299-W19-113,0.52773842
11/30/2015,299-W19-113,0.515738495
12/31/2015,299-W19-113,0.707501033
01/31/2016,299-W19-113,0.892094726
02/29/2016,299-W19-113,0.866868299
03/31/2016,299-W19-113,0.965229829
04/30/2016,299-W19-113,0.949394839
05/31/2016,299-W19-113,0.973031316
06/30/2016,299-W19-113,0.91068724
07/31/2016,299-W19-113,0.894236284
08/31/2016,299-W19-113,0.722540988
09/30/2016,299-W19-113,0.835895722
10/31/2016,299-W19-113,0.850329242
11/30/2016,299-W19-113,0.884498881
12/31/2016,299-W19-113,0.888200604
01/31/2017,299-W19-113,0.764698119
02/28/2017,299-W19-113,0.578585915
03/31/2017,299-W19-113,0.5853925
04/30/2017,299-W19-113,0.647409856
05/31/2017,299-W19-113,0.751752412
06/30/2017,299-W19-113,0.799097045
07/31/2017,299-W19-113,0.630476824
08/31/2017,299-W19-113,0.76356526
09/30/2017,299-W19-113,0.801127218
10/31/2017,299-W19-113,0.830202236
11/30/2017,299-W19-113,0.820115628
12/31/2017,299-W19-113,0.860641523
01/31/2018,299-W19-113,0.874633825
02/28/2018,299-W19-113,0.803240012
03/31/2018,299-W19-113,0.89638383
04/30/2018,299-W19-113,0.850068096
05/31/2018,299-W19-113,0.856993277
06/30/2018,299-W19-113,0.813714278
07/31/2018,299-W19-113,0.785070556
08/31/2018,299-W19-113,0.709928074
09/30/2018,299-W19-113,0.674738402
10/31/2018,299-W19-113,0.348319841
11/30/2018,299-W19-113,0.012619296
12/31/2018,299-W19-113,0.792651536
01/31/2019,299-W19-113,0.728026718
02/28/2019,299-W19-113,0.658512884
03/31/2019,299-W19-113,0.693758526
04/30/2019,299-W19-113,0.598070158
05/31/2019,299-W19-113,0.671258056
06/30/2019,299-W19-113,0.612644418
07/31/2019,299-W19-113,0.563822484
08/31/2019,299-W19-113,0.515338894
09/30/2019,299-W19-113,0.458221969
10/31/2019,299-W19-113,0.454636283
11/30/2019,299-W19-113,0.494875968
12/31/2019,299-W19-113,0.51516434
01/31/2020,299-W19-113,0.620174059
02/29/2020,299-W19-113,0.583514599
03/31/2020,299-W19-113,0.562440569
04/30/2020,299-W19-113,0.532154168
05/31/2020,299-W19-113,0.521863961
06/30/2020,299-W19-113,0.504784794
07/31/2020,299-W19-113,0.539007388
08/31/2020,299-W19-113,0.465667242
09/30/2020,299-W19-113,0.448948847
10/31/2020,299-W19-113,0.344925253
11/30/2020,299-W19-113,0.370545232
12/31/2020,299-W19-113,0.360756138
01/31/2021,299-W19-113,0.379343638
02/28/2021,299-W19-113,0.34425861
03/31/2021,299-W19-113,0.311093097
04/30/2021,299-W19-113,0.257131074
05/31/2021,299-W19-113,0.256095529
06/30/2021,299-W19-113,0.235482935
07/31/2021,299-W19-113,0.244561758
08/31/2021,299-W19-113,0.247032008
09/30/2021,299-W19-113,0.208053443
10/31/2021,299-W19-113,0.221863355
11/30/2021,299-W19-113,0.215448336
12/31/2021,299-W19-113,0.219324576
01/31/2022,299-W19-113,0.200394582
02/28/2022,299-W19-113,0.178489628
03/31/2022,299-W19-113,0.14537666
04/30/2022,299-W19-113,0.122249207
05/31/2022,299-W19-113,0.157548201
06/30/2022,299-W19-113,0.119372433
07/31/2022,299-W19-113,0.162492245
08/31/2022,299-W19-113,0.144430845
09/30/2022,299-W19-113,0.096839114
10/31/2022,299-W19-113,0.138188681
11/30/2022,299-W19-113,0.1377103
12/31/2022,299-W19-113,0.127221709
01/31/2023,299-W19-113,0.087718575
02/28/2023,299-W19-113,0.079829591
03/31/2023,299-W19-113,0.088860196
04/30/2023,299-W19-113,0.094224419
05/31/2023,299-W19-113,0.099165754
06/30/2023,299-W19-113,0.094029248
07/31/2023,299-W19-113,0.039643861
08/31/2023,299-W19-113,0
09/30/2023,299-W19-113,0
10/31/2023,299-W19-113,0
11/30/2023,299-W19-113,0
12/31/2023,299-W19-113,0
01/31/2024,299-W19-113,0
02/29/2024,299-W19-113,0
03/31/2024,299-W19-113,0
04/30/2024,299-W19-113,0
05/31/2024,299-W19-113,0
06/30/2024,299-W19-113,0
07/31/2024,299-W19-113,0
08/31/2024,299-W19-113,0
09/30/2024,299-W19-113,0
10/31/2024,299-W19-113,0
11/30/2024,299-W19-113,0
12/31/2024,299-W19-113,0
07/31/2012,299-W19-134,0
08/31/2012,299-W19-134,0
09/30/2012,299-W19-134,0
10/31/2012,299-W19-134,0
11/30/2012,299-W19-134,0
12/31/2012,299-W19-134,0
01/31/2013,299-W19-134,0
02/28/2013,299-W19-134,0
03/31/2013,299-W19-134,0
04/30/2013,299-W19-134,0
05/31/2013,299-W19-134,0
06/30/2013,299-W19-134,0
07/31/2013,299-W19-134,0
